SEQ_NO,ISBN_THIRTEEN_NO,VLM_NM,TITLE_NM,AUTHR_NM,PUBLISHER_NM,PBLICTE_DE,ADTION_SMBL_NM,PRC_VALUE,IMAGE_URL,BOOK_INTRCN_CN,KDC_NM,TITLE_SBST_NM,AUTHR_SBST_NM,TWO_PBLICTE_DE,INTNT_BOOKST_BOOK_EXST_AT,PORTAL_SITE_BOOK_EXST_AT,ISBN_NO
"6352228","9791156759270","","너에게 목소리를 보낼게 - &lt;달빛천사&gt; 성우 이용신의 첫 번째 에세이","이용신 (지은이)","푸른숲","","","16000","https://image.aladin.co.kr/product/28415/8/cover/k652835115_1.jpg","2004년 방영한 애니메이션 &lt;달빛천사&gt;에서 주인공 루나(풀문) 역을 맡으며 90년대생들에게 보석 같은 추억을 선물한 성우 이용신의 첫 번째 에세이. 수많은 작품의 주연을 맡으며 쉬지 않고 대중에게 행복을 전해온 성우 이용신의 발자취를 확인할 수 있다.","","","","2021-12-03","","",""
"6352229","9791168120877","","일기에도 거짓말을 쓰는 사람 - 99년생 시인의 자의식 과잉 에세이","차도하 (지은이)","위즈덤하우스","","","15800","https://image.aladin.co.kr/product/28414/66/cover/k202835114_1.jpg","“그러니 나는 말하고 싶은 것을 말하겠다”「침착하게 사랑하기」 차도하 시인 첫 에세이새롭고 도발적인 작품성으로 문단의 기대주로 떠오른 차도하 시인의 첫 번째 산문집이 출간됐다. 혼자 보는 일기에도 거짓말을 쓸 수밖에 없었던 시인의 산문집 『일기에도 거짓말을 쓰는 사람』은 공교롭게도 보는... ","","","","2021-12-06","","",""
"6352230","9791168120839","","본격 한중일 세계사 12 - 임오군란과 통킹 위기","굽시니스트 (지은이)","위즈덤하우스","","","14800","https://image.aladin.co.kr/product/28414/47/cover/k402835113_1.jpg","한중일 관계의 결정적 분기점인 임오군란의 막전 막후를 다룬다. 러시아의 세력 확장을 경계한 청은 ‘친중·결일·연미’라는 계책을 앞세워 조선에 대한 통제를 강화하고, 이를 그냥 보아 넘길 수 없던 일본은 임오군란을 계기로 마수를 뻗치는데…. 정국 안정화와 근대 문물 도입을 향해 뛰어가는 조선의 앞에 놓인 거대한 장애물을 살펴본다.","","","","2021-12-01","","",""
"6352231","9791168120846","","즉시 기분을 바꿔드립니다 - 신기하게 마음이 편해지는 응급 처방전","올리비아 레메스 (지은이), 김잔디 (옮긴이)","위즈덤하우스","","","14000","https://image.aladin.co.kr/product/28414/30/cover/k892835112_1.jpg","누구에게나 기분 구급상자가 필요하다. 하나씩 하나씩 차근차근, 좋은 기분을 쌓고 건강한 마음을 만드는 법을 담은 책이다.","","","","2021-12-01","","",""
"6352232","9791168120747","","오늘도 리추얼 : 음악, 나에게 선물하는 시간","정혜윤 (지은이)","위즈덤하우스","","","15000","https://image.aladin.co.kr/product/28413/80/cover/k202835112_1.jpg","나다운 일상을 만드는 사람들의 이야기를 담은 『오늘도 리추얼』 시리즈가 위즈덤하우스에서 출간되었다. 『오늘도 리추얼』 시리즈는 음악, 요가, 달리기, 영감 수집 등 다양한 리추얼을 통해 자신만의 세계를 쌓아나가는 사람들의 일상을 소개한다. 그 첫 번째 책인 정혜윤 작가의 『오늘도 리추얼: 음악... ","","","","2021-12-01","","",""
"6352233","9791168030183","","지리산 1 - 김은희 대본집","김은희 (지은이)","북로그컴퍼니","","","18500","https://image.aladin.co.kr/product/28413/61/cover/k612835111_1.jpg","국립공원 최고의 레인저 서이강과 말 못 할 비밀을 가진 신입 레인저 강현조가 산에서 일어나는 의문의 사고를 파헤치며 벌어지는 이야기를 그린 &lt;지리산&gt;의 작가판 대본집이 출간된다. tvN 15주년 기념으로 기획된 이 드라마는 5년 7개월 만에 TV로 돌아온 김은희 작가의 복귀작으로, 공개되자마자 두 자릿수 시청률을 기록하는 등 큰 화제를 모으고 있다.","","","","2021-12-15","","",""
"6352234","9791165344252","","달러구트 꿈 백화점 (100만부 기념 합본호 기프트 에디션) - 주문하신 꿈은 매진입니다","이미예 (지은이)","팩토리나인","","","24000","https://image.aladin.co.kr/product/28413/58/cover/k542835111_1.jpg","이미예 장편소설. 잠들어야만 입장할 수 있는 독특한 마을. 그곳에 들어온 잠든 손님들에게 가장 인기 있는 곳은, 온갖 꿈을 한데 모아 판매하는 '달러구트의 꿈 백화점'이다. 긴 잠을 자는 사람들은 물론이고, 짧은 낮잠을 자는 사람들과 동물들로 매일매일 대성황을 이룬다.","","","","2021-12-15","","",""
"6352235","9788984054202","","그린 스완 - 회복과 재생을 촉진하는 새로운 경제","존 엘킹턴 (지은이), 정윤미 (옮긴이)","더난출판사","","","17000","https://image.aladin.co.kr/product/28413/47/cover/8984054208_1.jpg","회복과 재생을 촉진하는 새로운 미래 자본주의 모델 안내서 《그린 스완》이 출간됐다. 이 책은 이미 시작된 ‘변화의 징후’를 읽는 10가지 용어인 목적, 비즈니스 모델, 수익, 성장, 가치, 임팩트, 책임, 중대성, 지배구조, 좌초자산을 통해 세계 경제의 패러다임이 바뀌고 있음을 확인한다.","","","","2021-12-03","","",""
"6352236","9788958207535","","마음이 허기질 때 어린이책에서 꺼내 먹은 것들 - 나를 채운 열일곱 가지 맛","김단비 (지은이)","궁리","","","13000","https://image.aladin.co.kr/product/28413/47/cover/8958207531-1.jpg","궁리 에디션L 시리즈 4권. 저자가 17권의 국내 어린이책에서 건져올린 음식에 관한 에세이. 그가 물질적으로 풍요롭지 않았던 어린 시절을 건너오면서, 입으로 또 마음으로 삼킨 맛들을 써 내려간 첫 에세이다. 음식들을 맛보던 시간, 함께 먹었던 사람들을 한데 버무렸다.","","","","2021-11-26","","",""
"6352237","9791188726936","","돌리버드 Dollybird : Fairy Tale","호비재팬 편집부 (지은이), 정유미 (옮긴이)","라의눈","","","","https://image.aladin.co.kr/product/28412/99/cover/k482835017_1.jpg","일본 최고의 인형 매거진 ‘돌리버드’가 한국어판으로 속속 출간되며 화제를 모으고 있다. 이번 책은 엑스큐트 탄생 10주년을 기념한 ‘동화의 나라’ 특집으로 세계적 인형 작가들이 콜라보 작업에 참여해 동화 속 주인공들을 재현했다.","","","","2021-12-01","","",""
